,MAE,RMSE,R2
CatBoost,69835.86884622577,132506.69280538842,0.9599143476745056
Random Forest,76653.66019271838,149417.92108316516,0.9490295221436789
Linear Regression,140016.02886769793,244295.38990853963,0.8637476915599207
